matricula,nombre,apellido,edad,genero,carrera,cuatrimestre,promedio
A00000,José,López,27,F,Derecho,5,9.2
A00001,María,Hernández,18,M,Ingeniería,3,9.04
A00004,Laura,Torres,18,M,Arquitectura,3,9.29
A00010,Miguel,Torres,18,F,Ingeniería,8,9.16
A00012,Sofía,García,18,M,Arquitectura,4,9.38
A00014,Sofía,Martínez,25,F,Medicina,5,9.91
A00019,Laura,López,28,F,Derecho,3,9.29
A00027,Carlos,Hernández,26,F,Ingeniería,4,9.16
A00028,Miguel,González,29,M,Psicología,1,9.4
A00030,Ana,Pérez,20,F,Medicina,1,9.23
A00038,Sofía,González,29,F,Psicología,2,9.77
A00039,Miguel,López,25,M,Psicología,6,9.15
A00042,Miguel,Hernández,24,M,Medicina,9,9.99
A00046,Luis,García,26,M,Derecho,2,9.45
A00047,María,López,26,M,Medicina,2,9.89
A00050,Miguel,Ramírez,25,F,Psicología,2,9.41
A00059,María,Ramírez,27,F,Medicina,7,9.97
A00072,José,García,27,F,Medicina,5,9.94
A00080,Luis,González,26,M,Arquitectura,6,9.34
A00094,Luis,Torres,23,M,Psicología,7,9.19
A00096,Luis,Pérez,20,F,Psicología,6,9.14
A00103,Sofía,Pérez,29,F,Economía,4,9.45
A00104,Miguel,García,18,M,Economía,1,9.47
A00109,Luis,Hernández,27,M,Economía,2,9.75
A00110,Laura,López,26,M,Medicina,1,9.49
A00112,Ana,Ramírez,23,F,Psicología,4,9.82
A00114,María,Torres,28,F,Arquitectura,5,9.72
A00119,Luis,González,28,M,Economía,9,9.7
A00123,Laura,García,21,F,Economía,3,9.64
A00124,Ana,Pérez,24,F,Psicología,6,9.88
A00132,José,Torres,28,M,Psicología,2,9.33
A00133,Sofía,Hernández,21,M,Derecho,6,9.8
A00136,Luis,López,27,M,Derecho,9,9.34
A00140,Miguel,García,18,M,Economía,2,9.71
A00152,Sofía,López,29,M,Economía,2,9.03
A00154,Laura,Ramírez,18,F,Psicología,8,9.97
A00155,Luis,González,19,M,Arquitectura,9,9.07
A00158,Sofía,Torres,25,F,Medicina,3,9.89
A00162,Laura,Ramírez,28,M,Psicología,4,9.96
A00165,Luis,Hernández,23,F,Economía,3,9.05
A00166,Ana,Martínez,19,F,Medicina,8,9.2
A00167,Miguel,López,18,F,Economía,8,9.38
A00172,José,Ramírez,21,M,Arquitectura,4,9.36
A00174,Miguel,Pérez,20,F,Economía,8,9.86
A00175,Sofía,Pérez,22,F,Psicología,8,9.9
A00176,Miguel,Martínez,26,M,Ingeniería,6,9.33
A00178,María,González,27,M,Economía,1,9.89
A00179,Ana,Torres,21,F,Psicología,7,9.98
A00186,Carlos,González,22,F,Economía,7,9.61
A00191,Ana,Ramírez,19,M,Ingeniería,9,9.35
A00195,Laura,Pérez,26,M,Psicología,6,9.98
A00196,Sofía,Ramírez,26,F,Psicología,6,9.63
A00197,Miguel,Pérez,27,M,Ingeniería,5,9.13
A00205,Sofía,Pérez,27,F,Economía,5,9.16
A00210,Sofía,Martínez,29,M,Ingeniería,5,9.85
A00211,Ana,Torres,21,M,Economía,2,9.03
A00214,José,Ramírez,19,M,Ingeniería,1,9.68
A00219,Laura,Pérez,22,M,Derecho,3,9.95
A00220,Luis,Pérez,27,F,Ingeniería,7,9.05
A00223,María,Pérez,23,F,Arquitectura,9,9.91
A00226,Ana,González,19,M,Medicina,6,9.95
A00231,Laura,López,25,M,Derecho,6,9.67
A00242,Luis,Pérez,29,M,Arquitectura,2,9.67
A00247,Ana,Pérez,21,F,Arquitectura,3,9.79
A00250,Ana,Pérez,25,F,Economía,1,9.82
A00259,Carlos,Martínez,25,F,Derecho,7,9.64
A00260,Luis,Ramírez,23,M,Ingeniería,8,9.95
A00265,Luis,González,23,F,Derecho,7,9.44
A00266,Ana,López,23,F,Psicología,7,9.11
A00270,José,López,19,M,Medicina,4,9.87
A00274,Laura,Pérez,25,M,Medicina,1,9.34
A00283,Miguel,Ramírez,23,M,Psicología,3,9.53
A00296,Miguel,Torres,22,F,Psicología,6,9.09
A00299,Luis,González,24,F,Arquitectura,4,9.13
A00305,José,Martínez,20,M,Economía,2,9.44
A00306,José,Martínez,21,F,Ingeniería,6,9.63
A00307,Ana,Ramírez,23,M,Ingeniería,9,9.93
A00310,Sofía,Hernández,19,M,Arquitectura,3,9.55
A00311,María,Pérez,28,M,Economía,1,9.91
A00312,Carlos,López,20,M,Psicología,8,9.4
A00327,Laura,López,28,F,Medicina,5,9.26
A00329,Ana,Torres,24,F,Arquitectura,6,9.46
A00332,Miguel,Hernández,20,M,Economía,3,9.76
A00335,Laura,García,29,F,Economía,5,9.95
A00337,José,Ramírez,20,F,Psicología,3,9.22
A00339,Ana,García,22,F,Medicina,1,9.1
A00342,Ana,González,29,M,Psicología,1,9.2
A00344,María,Pérez,18,F,Economía,1,9.08
A00351,Miguel,Hernández,24,M,Medicina,9,9.46
A00352,Sofía,López,22,M,Derecho,4,9.38
A00356,Miguel,Hernández,25,F,Ingeniería,5,9.65
A00357,José,García,23,F,Medicina,5,9.29
A00359,Sofía,Pérez,22,F,Psicología,2,9.14
A00360,María,González,25,M,Economía,2,9.22
A00364,Ana,Torres,23,F,Medicina,7,9.9
A00374,Carlos,Torres,24,M,Psicología,6,9.81
A00381,María,Martínez,21,F,Derecho,5,9.21
A00393,Miguel,Pérez,22,F,Medicina,1,9.82
A00398,Ana,García,23,M,Psicología,4,9.88
A00401,Carlos,López,22,F,Derecho,7,9.5
A00406,José,García,26,F,Arquitectura,9,9.88
A00411,José,Ramírez,26,F,Medicina,2,9.75
A00412,Carlos,Martínez,21,M,Economía,8,9.73
A00420,José,Torres,24,M,Economía,5,9.83
A00424,Carlos,García,25,M,Medicina,9,9.47
A00425,Miguel,Ramírez,19,F,Psicología,8,9.92
A00430,Sofía,López,21,M,Arquitectura,6,9.48
A00437,Sofía,Hernández,22,M,Derecho,4,9.33
A00460,Miguel,García,20,F,Arquitectura,4,9.78
A00468,María,Hernández,24,F,Psicología,1,9.78
A00479,Miguel,Torres,29,F,Economía,5,9.43
A00481,Laura,Martínez,24,F,Psicología,1,9.34
A00487,Miguel,Torres,18,M,Ingeniería,6,9.16
A00488,Sofía,González,29,F,Derecho,3,9.91
A00490,Luis,Hernández,27,F,Arquitectura,8,9.77
A00497,Luis,González,23,F,Medicina,4,9.08
A00498,Ana,Pérez,22,M,Ingeniería,3,9.4
A00501,Ana,Martínez,23,M,Arquitectura,6,9.56
A00505,María,Torres,24,F,Derecho,1,9.33
A00508,Luis,Martínez,22,M,Medicina,2,9.09
A00510,Carlos,Pérez,20,F,Arquitectura,1,9.68
A00516,María,Martínez,20,M,Economía,4,9.66
A00519,María,Hernández,22,F,Derecho,1,9.15
A00535,María,Hernández,27,F,Psicología,6,9.01
A00536,María,Pérez,27,M,Derecho,2,9.28
A00537,María,Pérez,29,M,Psicología,6,9.86
A00548,Luis,Martínez,27,M,Ingeniería,3,9.67
A00556,Miguel,López,28,F,Arquitectura,4,9.04
A00563,José,Hernández,25,M,Medicina,8,9.32
A00564,José,Pérez,21,M,Ingeniería,2,9.69
A00579,Carlos,García,22,F,Psicología,6,9.32
A00585,María,Torres,18,F,Arquitectura,9,9.5
A00587,Laura,Martínez,29,M,Ingeniería,4,9.3
A00596,Sofía,Hernández,26,F,Ingeniería,5,9.72
A00610,José,Pérez,27,M,Economía,4,9.06
A00612,Carlos,Torres,19,M,Psicología,8,9.69
A00616,Luis,Ramírez,18,F,Arquitectura,4,9.92
A00618,Sofía,López,26,F,Ingeniería,6,9.34
A00620,Carlos,Hernández,18,F,Medicina,9,9.26
A00623,Luis,González,29,M,Medicina,9,9.43
A00631,María,Torres,28,M,Medicina,1,9.27
A00632,María,López,24,M,Economía,3,9.56
A00636,Laura,Pérez,18,M,Economía,3,9.49
A00645,Ana,López,21,F,Arquitectura,8,9.26
A00649,Sofía,Pérez,22,F,Medicina,9,9.65
A00653,Carlos,Ramírez,26,M,Ingeniería,3,9.53
A00654,María,Martínez,27,F,Ingeniería,3,9.45
