matricula,nombre,apellido,edad,promedio,carrera,genero,cuatrimestre
A00000,María,García,25,9.0,Medicina,F,5
A00001,Juan,Hernández,25,9.49,Ingeniería,F,8
A00002,Carlos,López,22,8.93,Medicina,F,2
A00003,Ana,Hernández,18,6.47,Derecho,F,3
A00004,Ana,Hernández,19,9.6,Arquitectura,M,2
A00005,Pedro,González,24,7.34,Ingeniería,M,5
A00006,María,García,20,7.72,Administración,F,5
A00007,María,García,22,8.1,Arquitectura,F,3
A00008,Diego,Rodríguez,23,7.05,Administración,F,5
A00009,Juan,López,24,9.9,Derecho,F,5
A00010,Juan,López,23,8.51,Psicología,F,5
A00011,María,González,18,7.98,Arquitectura,M,1
A00012,Ana,López,24,8.04,Arquitectura,F,2
A00013,Ana,García,18,6.22,Derecho,M,3
A00014,Juan,González,21,9.44,Ingeniería,M,3
A00015,Ana,López,23,6.67,Administración,M,8
A00016,Diego,González,22,6.63,Derecho,F,6
A00017,Ana,López,19,9.09,Arquitectura,F,3
A00018,Carmen,López,24,9.58,Medicina,F,5
A00019,Carlos,Rodríguez,25,8.7,Medicina,M,4
A00020,Juan,López,22,6.46,Arquitectura,F,8
A00021,Pedro,González,19,8.96,Ingeniería,F,3
A00022,Diego,García,20,6.01,Arquitectura,F,1
A00023,Laura,Rodríguez,19,9.43,Medicina,M,6
A00024,Carlos,López,24,6.05,Psicología,F,2
A00025,Pedro,López,23,6.18,Arquitectura,F,3
A00026,Ana,González,23,7.46,Arquitectura,M,3
A00027,Laura,Rodríguez,23,9.68,Psicología,M,8
A00028,María,López,20,6.72,Ingeniería,F,7
A00029,María,García,21,9.84,Derecho,M,7
A00030,Diego,Hernández,24,6.14,Medicina,F,4
A00031,María,García,18,9.21,Medicina,F,8
A00032,Laura,López,18,8.86,Administración,F,3
A00033,Laura,García,18,8.62,Derecho,M,4
A00034,Carlos,Rodríguez,20,6.9,Derecho,M,6
A00035,Juan,López,23,6.99,Derecho,F,1
A00036,Carmen,González,25,9.66,Derecho,F,5
A00037,María,Rodríguez,25,7.28,Medicina,M,2
A00038,Diego,García,20,9.3,Arquitectura,F,1
A00039,María,López,20,8.29,Arquitectura,M,3
A00040,Carlos,Rodríguez,23,6.48,Psicología,F,8
A00041,Laura,García,23,8.69,Arquitectura,M,7
A00042,Ana,López,20,6.21,Administración,F,8
A00043,María,Hernández,24,6.89,Ingeniería,F,5
A00044,Juan,Martínez,22,8.06,Ingeniería,F,8
A00045,Ana,González,23,6.18,Administración,F,4
A00046,Carlos,García,25,7.6,Derecho,M,7
A00047,María,Hernández,22,9.51,Psicología,M,7
A00048,Ana,García,25,9.46,Medicina,M,8
A00049,María,Martínez,18,9.09,Administración,M,5
A00050,Diego,Martínez,23,7.24,Arquitectura,F,3
A00051,Carlos,Rodríguez,23,6.35,Arquitectura,M,7
A00052,Carmen,González,19,7.83,Medicina,F,1
A00053,Laura,González,24,7.48,Ingeniería,F,5
