matricula,nombre,apellido,edad,promedio,carrera,genero,cuatrimestre
A00001,Juan,Hernández,25,9.49,Ingeniería,F,8
A00004,Ana,Hernández,19,9.6,Arquitectura,M,2
A00009,Juan,López,24,9.9,Derecho,F,5
A00014,Juan,González,21,9.44,Ingeniería,M,3
A00017,Ana,López,19,9.09,Arquitectura,F,3
A00018,Carmen,López,24,9.58,Medicina,F,5
A00023,Laura,Rodríguez,19,9.43,Medicina,M,6
A00027,Laura,Rodríguez,23,9.68,Psicología,M,8
A00029,María,García,21,9.84,Derecho,M,7
A00031,María,García,18,9.21,Medicina,F,8
A00036,Carmen,González,25,9.66,Derecho,F,5
A00038,Diego,García,20,9.3,Arquitectura,F,1
A00047,María,Hernández,22,9.51,Psicología,M,7
A00048,Ana,García,25,9.46,Medicina,M,8
A00049,María,Martínez,18,9.09,Administración,M,5
A00055,Laura,Martínez,18,9.14,Derecho,F,7
A00059,María,García,18,9.89,Derecho,M,6
A00060,Pedro,Hernández,25,9.99,Arquitectura,M,7
A00061,Ana,Hernández,20,9.1,Administración,M,5
A00064,Diego,Martínez,21,9.18,Arquitectura,F,5
A00066,Ana,García,19,9.73,Arquitectura,M,5
A00073,Carlos,Martínez,24,9.04,Medicina,F,6
A00078,Carmen,Rodríguez,20,9.93,Medicina,F,7
A00080,Carmen,López,23,9.84,Arquitectura,F,2
A00081,Pedro,García,25,9.89,Ingeniería,M,8
A00086,Diego,González,23,9.38,Administración,F,4
A00088,Laura,Hernández,22,9.58,Administración,M,1
A00100,Diego,García,25,9.4,Medicina,M,5
A00101,Carmen,Hernández,23,9.7,Ingeniería,M,5
A00103,Juan,González,22,9.33,Administración,M,2
A00107,María,Martínez,23,9.77,Ingeniería,F,6
A00109,Diego,Martínez,22,9.08,Medicina,M,3
A00116,Carlos,Rodríguez,25,9.08,Psicología,F,1
A00119,Laura,Hernández,22,9.41,Administración,M,3
A00121,Juan,Rodríguez,20,9.23,Psicología,F,2
A00126,Laura,García,21,9.43,Ingeniería,M,8
A00129,Juan,Martínez,19,9.87,Administración,M,7
A00133,Carmen,Rodríguez,19,9.28,Administración,F,5
A00135,Pedro,González,18,9.81,Ingeniería,M,1
A00136,Pedro,García,20,9.42,Administración,M,2
A00141,Ana,Hernández,22,9.18,Derecho,M,8
A00144,Diego,Rodríguez,18,9.12,Arquitectura,M,1
A00149,Ana,Rodríguez,24,9.75,Psicología,F,7
A00152,Laura,Rodríguez,24,9.67,Psicología,M,8
A00154,Ana,González,20,9.99,Arquitectura,F,7
A00157,María,López,18,9.24,Administración,M,1
